,Year,Month,C02,C0,CH4,N20,CFC11
0,2000,1,369.76,107.36,1802.15,315.84,260.92
1,2000,2,370.28,110.35,1793.96,315.98,260.8
2,2000,3,371.0,114.45,1791.82,315.93,260.67
3,2000,4,371.95,107.21,1786.89,315.86,260.46
4,2000,5,372.05,93.18,1773.99,315.85,260.21
5,2000,6,371.52,82.84,1772.28,315.88,260.21
6,2000,7,370.2,74.31,1769.48,316.03,260.24
7,2000,8,368.23,68.57,1762.14,316.22,260.01
8,2000,9,367.01,73.8,1773.82,316.32,260.57
9,2000,10,367.26,82.91,1797.05,316.3,259.84
10,2000,11,368.51,86.87,1798.78,316.36,259.96
11,2000,12,369.75,92.86,1790.66,316.57,259.94
12,2001,1,370.88,100.74,1789.25,316.7,259.84
13,2001,2,371.98,109.21,1793.46,316.69,259.43
14,2001,3,373.0,120.73,1800.94,316.71,259.21
15,2001,4,373.86,118.82,1797.37,316.78,258.74
16,2001,5,374.36,101.91,1783.27,316.77,258.62
17,2001,6,373.54,84.21,1773.29,316.69,258.31
18,2001,7,371.51,72.63,1769.26,316.65,257.53
19,2001,8,369.57,69.2,1764.72,316.76,257.46
20,2001,9,368.34,76.42,1779.83,316.91,257.51
21,2001,10,368.6,84.37,1790.94,317.06,257.7
22,2001,11,370.29,93.88,1793.09,317.27,257.68
23,2001,12,371.59,102.3,1795.97,317.34,257.45
24,2002,1,372.34,100.41,1787.47,317.32,257.27
25,2002,2,373.11,98.75,1782.99,317.38,256.91
26,2002,3,374.08,106.17,1786.05,317.44,256.74
27,2002,4,374.96,108.77,1781.95,317.39,256.5
28,2002,5,375.68,102.61,1778.41,317.37,256.15
29,2002,6,375.72,91.54,1774.5,317.46,256.2
30,2002,7,374.03,77.53,1766.42,317.54,255.78
31,2002,8,371.36,74.32,1766.14,317.51,255.55
32,2002,9,369.89,88.47,1780.36,317.5,255.55
33,2002,10,370.62,101.41,1795.55,317.66,255.54
34,2002,11,372.57,107.97,1801.24,317.83,255.58
35,2002,12,373.82,108.8,1792.52,317.79,255.36
36,2003,1,374.8,111.26,1785.99,317.76,255.12
37,2003,2,375.95,122.67,1791.85,317.92,254.91
38,2003,3,376.99,131.18,1796.81,318.01,254.8
39,2003,4,378.26,126.6,1794.98,317.97,254.68
40,2003,5,379.06,113.02,1787.01,317.96,254.37
41,2003,6,378.44,99.44,1790.49,318.05,254.02
42,2003,7,376.7,85.37,1785.31,318.18,253.83
43,2003,8,374.71,76.69,1773.11,318.31,253.67
44,2003,9,373.13,83.86,1788.15,318.4,253.84
45,2003,10,373.31,93.71,1806.09,318.46,253.65
46,2003,11,375.03,96.02,1807.66,318.47,253.57
47,2003,12,376.21,95.17,1794.44,318.51,253.48
48,2004,1,377.02,95.09,1789.85,318.62,253.21
49,2004,2,377.99,104.72,1798.01,318.66,252.98
50,2004,3,379.63,122.7,1806.82,318.59,252.67
51,2004,4,380.91,127.12,1805.52,318.58,252.64
52,2004,5,380.94,106.86,1787.84,318.61,252.43
53,2004,6,379.77,88.24,1779.75,318.55,252.17
54,2004,7,377.51,78.56,1774.6,318.59,251.98
55,2004,8,375.71,75.12,1769.85,318.78,251.84
56,2004,9,374.39,77.48,1778.12,318.88,251.81
57,2004,10,374.71,84.2,1790.77,318.92,251.72
58,2004,11,376.41,93.4,1800.56,319.06,251.83
59,2004,12,377.77,102.12,1796.61,319.24,251.6
60,2005,1,378.74,107.87,1788.55,319.27,251.32
61,2005,2,380.36,115.94,1796.19,319.23,251.16
62,2005,3,381.91,123.2,1802.7,319.32,250.96
63,2005,4,382.3,116.98,1791.28,319.46,250.79
64,2005,5,382.65,103.66,1780.96,319.41,250.51
65,2005,6,382.4,95.03,1779.98,319.37,250.24
66,2005,7,380.94,82.63,1771.31,319.49,250.05
67,2005,8,378.79,74.46,1766.52,319.5,249.96
68,2005,9,376.96,83.34,1787.18,319.42,249.88
69,2005,10,377.22,93.0,1806.18,319.57,249.76
70,2005,11,378.83,95.85,1803.18,319.83,249.7
71,2005,12,380.27,102.47,1798.24,320.02,249.62
72,2006,1,381.4,103.74,1794.52,320.1,
73,2006,2,382.1,97.76,1785.96,320.16,
74,2006,3,383.01,104.65,1786.1,320.25,
75,2006,4,384.9,117.24,1800.64,320.28,
76,2006,5,385.6,108.48,1798.44,320.23,
77,2006,6,384.24,83.5,1779.58,320.27,
78,2006,7,382.46,66.34,1765.37,320.35,
79,2006,8,380.23,63.4,1762.2,320.38,
80,2006,9,378.89,70.02,1775.44,320.48,
81,2006,10,379.31,79.45,1788.52,320.67,
82,2006,11,380.59,88.49,1791.52,320.78,
83,2006,12,382.0,100.26,1794.49,320.88,
84,2007,1,383.47,108.61,1799.24,321.08,
85,2007,2,384.63,114.88,1802.73,321.22,
86,2007,3,385.6,124.72,1802.52,321.19,
87,2007,4,386.7,124.53,1801.65,321.07,
88,2007,5,387.1,107.66,1795.34,321.15,
89,2007,6,386.53,83.88,1781.28,321.3,
90,2007,7,384.75,69.96,1771.39,321.23,
91,2007,8,381.86,69.79,1779.0,321.08,245.74
92,2007,9,380.53,75.73,1793.69,321.18,245.41
93,2007,10,381.37,81.21,1801.93,321.42,245.91
94,2007,11,382.86,91.21,1803.38,321.67,245.55
95,2007,12,384.29,102.14,1805.02,321.87,245.05
96,2008,1,385.76,105.65,1809.49,321.93,244.98
97,2008,2,385.94,110.85,1803.08,321.92,244.72
98,2008,3,385.8,117.79,1792.25,321.92,
99,2008,4,387.28,112.26,1792.1,321.97,
100,2008,5,388.93,97.55,1796.1,322.06,244.17
101,2008,6,388.69,84.89,1791.24,322.14,244.34
102,2008,7,386.88,72.08,1782.4,322.15,243.71
103,2008,8,384.47,63.85,1779.46,322.11,243.64
104,2008,9,383.0,70.57,1794.49,322.12,243.74
105,2008,10,383.12,77.87,1813.71,322.24,244.41
106,2008,11,384.34,78.88,1811.95,322.36,243.88
107,2008,12,385.88,84.14,1812.26,322.36,244.11
108,2009,1,387.2,95.57,1816.2,322.4,243.81
109,2009,2,387.95,104.62,1814.83,322.57,244.09
110,2009,3,388.63,106.59,1815.15,322.74,242.75
111,2009,4,389.55,102.55,1807.03,322.85,242.56
112,2009,5,390.34,94.7,1802.81,322.88,242.41
113,2009,6,389.75,83.07,1806.17,322.81,242.25
114,2009,7,387.92,70.49,1794.26,322.77,242.31
115,2009,8,386.05,70.29,1788.13,322.79,242.89
116,2009,9,384.64,77.02,1801.78,322.84,242.98
117,2009,10,384.79,79.13,1811.56,323.04,242.32
118,2009,11,386.19,83.76,1814.73,323.23,242.27
119,2009,12,387.71,90.21,1815.42,323.26,242.44
120,2010,1,388.79,90.06,1810.96,323.33,242.39
121,2010,2,389.91,97.45,1817.99,323.44,242.34
122,2010,3,391.27,115.56,1821.11,323.43,241.56
123,2010,4,392.79,121.51,1818.0,323.48,241.23
124,2010,5,393.57,105.02,1816.6,323.62,240.96
125,2010,6,392.45,85.71,1803.01,323.58,240.6
126,2010,7,390.27,72.31,1793.51,323.46,240.26
127,2010,8,388.17,70.99,1800.66,323.49,240.22
128,2010,9,386.74,78.06,1810.48,323.6,240.13
129,2010,10,387.39,85.47,1826.38,323.75,240.07
130,2010,11,388.74,87.94,1830.6,323.96,239.88
131,2010,12,390.23,89.64,1821.07,324.17,239.56
132,2011,1,391.74,91.27,1823.77,324.35,239.34
133,2011,2,392.32,92.77,1819.81,324.5,239.0
134,2011,3,392.82,96.21,1815.35,324.62,238.88
135,2011,4,393.88,95.99,1815.98,324.66,238.52
136,2011,5,394.46,88.84,1811.63,324.61,238.4
137,2011,6,393.99,81.14,1810.18,324.6,238.32
138,2011,7,392.54,71.86,1803.09,324.62,238.14
139,2011,8,390.15,68.27,1799.96,324.69,237.84
140,2011,9,388.78,74.47,1813.0,324.92,237.79
141,2011,10,389.33,77.73,1823.87,325.11,237.75
142,2011,11,390.64,80.27,1827.51,325.16,237.49
143,2011,12,392.34,90.51,1831.69,325.19,237.54
144,2012,1,393.18,93.88,1827.62,325.24,237.44
145,2012,2,393.42,90.85,1819.36,325.3,237.26
146,2012,3,394.82,100.31,1823.95,325.37,236.82
147,2012,4,396.73,108.18,1834.9,325.38,236.62
148,2012,5,397.16,93.95,1829.66,325.37,236.42
149,2012,6,396.04,71.73,1813.95,325.44,236.08
150,2012,7,394.46,63.86,1803.92,325.54,235.84
151,2012,8,392.41,68.02,1804.03,325.59,235.81
152,2012,9,391.05,74.1,1815.71,325.66,235.91
153,2012,10,391.31,80.0,1828.97,325.75,236.21
154,2012,11,393.26,89.12,1836.51,325.92,235.89
155,2012,12,394.84,92.49,1836.12,326.11,236.29
156,2013,1,395.85,90.36,1833.39,326.07,236.24
157,2013,2,397.0,97.63,1837.06,325.87,235.87
158,2013,3,397.94,111.98,1838.68,325.91,235.04
159,2013,4,398.9,109.78,1830.34,326.21,234.85
160,2013,5,399.81,92.42,1825.3,326.28,234.49
161,2013,6,399.35,76.13,1814.72,326.27,234.14
162,2013,7,397.39,66.79,1804.8,326.47,234.01
163,2013,8,395.21,68.51,1813.69,326.7,234.15
164,2013,9,393.92,78.51,1838.06,326.74,234.23
165,2013,10,394.06,80.34,1844.56,326.73,234.01
166,2013,11,395.64,78.79,1840.48,326.85,234.02
167,2013,12,397.24,84.72,1847.96,327.07,233.79
168,2014,1,398.12,86.77,1840.78,327.19,233.6
169,2014,2,398.55,88.66,1831.11,327.12,233.64
170,2014,3,399.98,103.6,1846.93,327.1,233.69
171,2014,4,401.86,115.64,1855.54,327.26,233.52
172,2014,5,402.45,103.63,1844.28,327.43,233.51
173,2014,6,401.6,79.71,1831.42,327.43,233.46
174,2014,7,399.17,68.04,1818.96,327.49,233.28
175,2014,8,396.74,69.97,1824.34,327.74,232.93
176,2014,9,395.56,74.64,1840.95,327.99,233.22
177,2014,10,395.89,76.82,1844.1,328.18,233.22
178,2014,11,397.73,87.35,1854.82,328.32,233.28
179,2014,12,399.49,96.45,1863.76,328.38,233.04
180,2015,1,400.29,90.44,1853.47,328.45,232.82
181,2015,2,400.62,89.05,1848.78,328.62,232.36
182,2015,3,401.82,106.11,1858.24,328.72,231.99
183,2015,4,403.91,117.63,1866.26,328.57,232.0
184,2015,5,404.37,104.68,1862.28,328.31,232.03
185,2015,6,403.13,83.81,1844.51,328.34,231.63
186,2015,7,401.16,71.5,1831.99,328.56,231.37
187,2015,8,399.14,67.5,1827.6,328.64,231.54
188,2015,9,397.89,73.58,1840.3,328.69,231.77
189,2015,10,398.46,86.92,1860.42,328.91,231.61
190,2015,11,400.19,96.41,1866.21,329.17,231.5
191,2015,12,401.76,100.22,1863.35,329.35,231.37
192,2016,1,402.95,102.8,1858.3,329.44,231.15
193,2016,2,403.86,106.88,1858.44,329.39,230.98
194,2016,3,405.46,114.13,1864.46,329.34,230.76
195,2016,4,407.58,117.13,1873.35,329.41,230.8
196,2016,5,408.12,104.48,1870.82,329.57,230.62
197,2016,6,406.82,84.34,1855.65,329.68,230.54
198,2016,7,404.6,67.56,1835.75,329.65,230.3
199,2016,8,401.91,66.26,1840.75,329.47,230.28
200,2016,9,400.44,75.87,1863.09,329.45,230.45
201,2016,10,401.69,82.43,1876.26,329.69,230.53
202,2016,11,403.74,84.05,1874.36,329.88,230.56
203,2016,12,404.9,86.89,1864.76,329.86,230.54
204,2017,1,405.79,89.41,1870.55,329.86,230.64
205,2017,2,406.51,91.18,1869.4,329.98,229.9
206,2017,3,407.57,97.61,1862.68,330.07,229.87
207,2017,4,409.22,101.0,1867.98,330.06,230.24
208,2017,5,410.0,92.51,1869.56,330.04,230.03
209,2017,6,408.94,77.25,1856.66,330.1,229.88
210,2017,7,407.18,65.83,1839.54,330.3,229.93
211,2017,8,405.09,64.15,1839.52,330.48,230.1
212,2017,9,403.32,73.32,1862.67,330.51,230.43
213,2017,10,403.66,83.4,1882.75,330.52,230.45
214,2017,11,405.46,86.65,1885.27,330.69,230.44
215,2017,12,406.9,88.45,1879.4,330.84,230.39
216,2018,1,408.1,91.21,1876.51,330.76,230.15
217,2018,2,408.83,93.08,1875.41,330.76,229.81
218,2018,3,409.57,92.83,1871.19,330.95,229.52
219,2018,4,411.03,89.49,1869.5,331.01,229.38
220,2018,5,411.71,83.48,1866.08,330.99,229.35
221,2018,6,410.72,73.76,1857.48,331.15,229.37
222,2018,7,409.28,66.01,1854.08,331.32,229.07
223,2018,8,407.29,66.11,1854.58,331.32,228.8
224,2018,9,405.71,71.56,1864.11,331.44,229.0
225,2018,10,406.33,78.12,1884.6,331.75,229.21
226,2018,11,408.23,85.58,1895.15,331.98,229.27
227,2018,12,409.46,92.61,1889.63,332.02,229.06
228,2019,1,410.77,100.41,1894.01,332.13,229.02
229,2019,2,411.84,107.54,1897.48,332.26,228.56
230,2019,3,412.24,108.9,1886.16,332.22,228.42
231,2019,4,413.46,105.2,1884.65,332.14,228.1
232,2019,5,414.98,97.02,1885.81,332.21,227.7
233,2019,6,414.3,82.51,1870.25,332.34,227.18
234,2019,7,411.92,70.75,1859.48,332.41,226.94
235,2019,8,409.75,69.26,1861.08,332.5,226.79
236,2019,9,408.74,75.27,1872.01,332.58,226.8
237,2019,10,408.93,77.83,1885.52,332.66,226.86
238,2019,11,410.29,81.42,1894.09,332.81,226.76
239,2019,12,411.99,92.17,1900.12,332.98,226.55
240,2020,1,413.37,99.79,1898.56,333.08,226.32
241,2020,2,413.85,103.64,1891.66,333.09,225.98
242,2020,3,414.56,111.39,1892.54,333.14,225.5
243,2020,4,416.03,114.62,1892.92,333.32,225.32
244,2020,5,417.21,103.18,1892.98,333.56,225.21
245,2020,6,416.79,84.68,1886.27,333.71,224.96
246,2020,7,414.59,71.06,1873.27,333.78,224.61
247,2020,8,412.49,71.72,1873.84,333.9,224.6
248,2020,9,411.51,80.37,1886.26,334.07,224.48
249,2020,10,411.52,83.31,1899.78,334.18,224.36
250,2020,11,412.55,82.39,1903.53,334.18,224.19
251,2020,12,414.1,85.59,1905.29,334.22,224.05
